tweet_text,sentiment
ir concordar discordar rs achar posicionamento raso nenhum aceno sentido investigar punir torcedor preconceito gentee blz posicionar pra eu suficiente exemplar posicionamento ritar em esse sentido though,1
ahahah ok aguardo dia dar ar graça aqui,1
certeza sim poder recomendar American Woman are you gonna go my way ill be Waiting calling all angels again hit farofa fly away algum certeza conhecer ah sim tá formar,1
aproveitar bom forma,1
ataque ansiedade morr inferno,1
eitaaaaaaaaaaar agora lembrar hoje estrear ferio ex,1
bom dia Maria olhar rimar d,1
malucaaaaaaair q combinar dia vc semana q vir próximo,1
tá fácil … lado 40 jogo sega outro genérico Sega … saber porque dúvida p,1
poder defender amiguinha sofrer inferno ninguém saber gente ficar recado aí pra precisar to falar maldade pra abrir olho quanto antes bom,1
lindaa todo ano,1
val ano viagem talvez sim,1
tb compro preço olho q lá dentro eng electrónica último telemóvei sempre alto iphone barato d,1
alguém falar evento crypto d,1
postar look dia aqui elenão quiser falar instagr levar blusa estampa r 5,1
concordo tbm,1
tmb sentiste grande burra jeito nenhum,1
simm parar agr tá quente,1
alguém saber fazer pra assistir Greys hoje d,1
sempre aqui distante falar ne isso precisa vir pra recife pra conhecer comunidade de aqui,1
unico pai mundo onde prender ladrao condenar 2 instancia lidero pesquisa pais ipobe,1
ent vêer kkkkkk ir comer dar Ghost fazer eu d,1
flopar apago,1
vc apadrinhar ir citar sim esperar pouco,1
sempre magrar vir veganar engordei 10 kg nenê tá errar tweet,1
inverter cenário tyloo csgo d,1
1 foo fc91499d2a584505a8636531a34e0666,1
wuant poder ver vídeo fone,1
bom argumento tamo junto,1
ir gritar pro mundo q amar cada vez q questionar pego alto falante grito ouvir indivíduo,1
siiimm ir em ela lt3 cliente amigo Conheci ano,1
orgulhoso procurar 3 mês bom decisão poderíar ter fazer ir dar certo,1
compro então preocupe,1
¿ eu querer ver ir acertar Matei pombo soltei pombo querer ver pombovoar ¿ qual nome de esse filme sentindo pensativo,1
voltar esqueci anotar,1
inktober lylilanza leitura promesso dúvida kkkkkk bjo grande amigo hortolândia,1
deixar ser feliz d,1
colega gostoso todo,1
to preparar pra rasteira amanhã pq hoje dar tudo certo amanhã ir dar tudo errar d,1
menino todo mundo insta resolver ir pra praia hj inclusive pq tô carro p ir pra bm,1
saber participar airdrop confirar vídeo Júlio Canal cripto tec trx tron airdrop crypto huobi cryptocurrencies money Exchange,1
yeoone farei bem promoção japonês universe bom noite kreng Yeodachi,1
porque hora achar algo bom,1
péssimo piada infelizmente ossar tão novo tão ignorante caso,1
acordar sete manhã p ir feiro c avós mine,1
Artur destrui corpo,1
coisa bom dia compr novo mochila,1
quinta ir Ladeira,1
andar todo fazer,1
ônibus carregador Wifi vida demais netflix sonequir viagem todo,1
sigo imenso pessoa interajo mesmo significar nada,1
fazer vc fazer bom trabalho,1
1 ano atrás pensar ir trabalhar pra gastar primeiro salário amigo emprego chegar moro outro cidade,1
valer força caro d,1
poder dizer dia mau,1
passar seguilo partir de esse evento valir pena creio,1
Like calater chato Caralho,1
final semana sensacional,1
to falar Marcelo,1
ggwp 30 contra revoltz classificar playoffs ggbet valer todo torcida gosanto,1
non desculpe achar ainda influencia margaret atwood achar tudo maravilhoso escritar casa país,1
amigar reagir pessoa levar susto amp,1
ir apanhar comboio Alverca tar ver ir ser dois andar,1
hi tar literalmente morrer antes nao querer fazer pedro agora com si tar começo ficar nervoso conseguir respirar,1
tá sozinho mano,1
sorriar pra vir entendimento verdade saber nada ainda compreender bem caro jornada ser pai,1
vitória poder chamar apenas viver,1
obrigadaaa ir tentar sim,1
primeiro artigo,1
hey vivo cam4 ir conversar show sexy car porno,1
nop tudo cabeça,1
ato censura número 1 tentar mecensurar ban p,1
ehehe sempre ordem precisar algum coisa dm abrir p,1
trecho música frases zé neto cristiano,1
alegria ver amiga querer matar ahahah,1
prefiro outro façam coisa p eu p,1
tô more bom tá bem,1
bom pubg mobile,1
rosemerir noronha alguém lembrar,1
derrubar porra de esse ganha voto fato facar em ele ta valer p,1
achar q tb ir sair,1
affe imaginar poder entrar vontade hahaha tô twitter pra ainda pra conversa bom,1
obrigar ilustrar dizer,1
patriota br,1
ir codeina,1
pensastir ir programa talento achar tinha jeito aceitar,1
september 24 2018 at 0800am good morning have nice day buena tengan un excelente día bom dia desejolher excelente dia americar españa usar Brasil,1
sim parçar empatir paracom animal viver mesmo natureza humano bom dever manter vida funcionar,1
tô preparar bor fazer caravano turma gente poder tentar desconto passagem aéreo,1
tristepego fone ouvidocoloco playlist bad 1 hora fico escutar,1
época liguei dever ter anotar nome carro fazer post acabar deixar passar foda pouco tá bem ai trampo dar respirada relaxa pouco,1
mandar pra eu thanks,1
ainda bem gente transar entao intimidade poder flr comigo bom ue Malksdmfl,1
tô editar então sair volta 1h manhã tanto youtube quanto spotify,1
tabar ceo precioso,1
frase cavaleiro zodíaco,1
poppy graga so q defender base pra gente dar gg ai 2 morrer dar gg p,1
reviver momento 4a sábado,1
omg crush pôr fav foto,1
começar pensar coisa antes dizer,1
entrar fila então aqui carga pra carregar dar cenoura presente saber motivo chicote bolso estalar vc tbm,1
florzinha tabaco felicidade linr couve Foz iguassú parano brazil,1
faltar semana aniversário poder preparar surpresa pra eu,1
nao to falar dinheiro sim parte dizer nunca trabalhar nenhum momento falar qualquer coisa sobre valor patrimônio,1
desenha mandote foto xiumin,1
fato 8 querer saber fã garota mencioneir antes olhar video perfil instagr,1
filoutube 16h20h filoutube pour vous divertir,1
conhecer fazer descarte lixo eletrônico acer site conhecer lixo eletrônico elixo,1
parabéns mano muito festa hein 1 ano vida d Deus iluminir caminho,1
ó restaurante bom motivo hehehe tô almoçar em ele hoje sempre tão bom,1
faltar sair cmg,1
nao caso,1
tar mm c esperançar q ano ir ser manhã pq pensar q ano sofrimento bastar,1
ter contar 9 bom goste,1
aiii amo estar aqui eu voltar,1
quique setien treinador bétis caber nome completo sondagem,1
todo trabalho histór pra fazer matéria inglês pra estudar,1
ir fazer agora uiehaiushd tentar n´ão ser clubisto unit favorito p,1
desde lá mt paciência conversamo mt sobre tudo hoje dia tudo mt bem nunca relação tão bom nunca sentir tão bem próprio casa eh,1
tar medo deitar começar ataque tosse,1
amanhã atomiclabmusic paulista monte gente bacano abrir faixa colar atomiclab guitarist guitarrista Singer cantor guitarteacher voiceteacher …,1
tá rolar aqui casa tb felicidade,1
expliqueir diferença caso falar censo c pq aplica,1
resumãor sensacional sobre história Forró fazer canal cadê forró valer muuuuito pena assistir,1
ok acabar responder mensagem lá,1
parabéns hay ♡ ♡ obrigado todo esforço fanbase linda esperar q vc aproveitar mt dia,1
ir porto mesmo data 1 euro poupança disponibilidade novembro maio,1
podcastr massa d 99vidas 146 – 2pak asterix chuck rock,1
alguém aí glitter pratear pra ficar linda fantasia Carnaval época,1
agora coisa ir ficar bem sim finalmente d,1
site continuar atualizar posição Wilson sistema 001 ir bem longe ainda chegar objetivo meio caminho costa Francisco hawaï q ilha q segundo foto estimativo q chegar lá 3 semana,1
pessoa quietir nao necessariamente distrair desligada ta acontecer volta kk ve em isso oportunidade pra tentar enganar ne,1
pessoa fazer tanto eu incrível parecer sempre retribuor mau jeito lixo sumir k explodir logo,1
arrr Gaia dar grande trabalho universo juro to dia todo em isso querer realmente aprender ser trabalhoso chame dm doce,1
Sara deprimiumir fg querer tanto bazar de aqui vez todo,1
Fernanda Brum agora programa eliana histório linda superação,1
vc desgraçar,1
agora colocar robozinho contra young Boys d,1
seguir curte kpop tbm pô,1
n saber oque fazer acordar amanhã acordar cedo preparar sol continuar aqui,1
caso montão pinscher achar dono mundo pq branquinho pegar busão grano pra viver tranquilamente preocupar boleto,1
mvno em u lir,1
mudei pack user,1
pouco peguei my pacer lindinho ninguém pegar agora então,1
bom dia adre chegar aqui trazer sol aproveitar cidade,1
Kkk mal experimente utilizar site computador,1
trabalho maduzinha ser bom irmão velho ficar ver filme novo tarde,1
ufa super cansar voz legal conversar tanto jovem interessado astronomia esperar ver rostinho cada próximo ano lá iag,1
triste necessario cuidar lek,1
sentei cima óculos entortei nada novo aqui,1
sim ainda regrar haver telemóvei,1
horrível gente sentir puto peso dizer forte aguente grande puder querer chame estarar disposição,1
cérebro funcionar gostar eu entt tá querer avisar lá pro coração ver pessoa pra quase dar parada cardíaca ansiedade pq tão trouxa,1
eh então disneyr lançar hoje compre dbd pois saber ir ter promoção novo,1
haddad 22 bor Andrade porrar 2 ° turno haddad 43 x 37 bolsonaro bolsonaro 28 ciro 11 alckmin 8 marina 5,1
esperar próximo,1
ganhar partida doto d how to Win Match at doto d via,1
,1
realmente desesperar estatística homicídio suicídio 2019 infelizmente corrar risco juntas estatísticar suicídio obrigar todo colaborar tudo ruim muito outro ir passar d,1
bue morena apanhei escaldão mama saber,1
cancelar ta ir tudo novo,1
salver familamcpe tevê novo video canal passar la deixar Like pra fortalecer canal hehe tmj mcpe,1
estudar trabalhar estudar pra poder ter bom trabalho,1
exatamente pessoo problema confiança autoestimar pra decidir ir fazer bom dizer saber amigo conhecer entender cenário ir dar confiança ir deixálo feliz pq lutar contra algo vc odeia,1
meio dúzia defensor quase 200 pessoa apoiar dar alegria,1
querer muitooo muitooo comprar,1
teste diagnóstico onde provo burreza,1
kjsjjkajjjs Sao tao velho óbvio antes tipo army vs exol olhar fonte doramar reply 1997 so faltei pq tar preguiça,1
importar acontecer ir criar espectativas so saber paz,1
querer alguém fizesse ur graça,1
passar tempo passar olhar parecer mudar,1
machuquei mão ontem ver agora,1
bom comentar comigo aprender pouco pretender corrigir erro proximo desenho obrigar feedback,1
pra ainda ouvir banca aiii p,1
ep massa em é adoro frase “ ser regar lírio gueto beethoven negro vir pra mostrar ” lt3 achar q representar bem importâncio oportunidade vida qlqr,1
messenger ano,1
entro crise aniversário algum fav pq criatividade pra fazer post bonitinho,1
bem coisa valioso poder existir ser reconhecer ídolo né dinheiro nenhum capaz de isso,1
vaga fazer sucesso,1
aff nao conseguir vlw ajudar,1
aaa bb bom noite bom noite,1
vc assistir debate paraná sp p,1
termos lei nº 950497 art 33 § 5o vedar período campar eleitoral realização enquete relacionar processo eleitoral avisar,1
estudei cntg esi qnd entrar la gnt n dar n gostar eu dps gnt cnv nada demais hoje muitoo queridaa ajudar redação to dever,1
hoje cedo twitter mashimasensei divulgar brinde exclusivo edem zero comemorar lançamento vol 01 físico Japão Brasil ficar de esse leia sobre matéria site d gtgt edenszero tamojunto,1
go ta sa 12,1
arranquei lençol cama enquanto dormir,1
bom trampo q ja fiz p,1
bom dia Maria bom dia ilustre navarrar,1
chegar 20 episódio todo semana podcast novo sobre folclore brasileiro escolhar d,1
lumina cascal passar quiosque “ a ver parque “ parque marechal carmonar abrir noite vir comer cachorro descansar,1
obviamente preciso dizer inscrevi exame final,1
ô mainha ir morrer fudido dor cabeça levei pq saber coração 13,1
ir começar fazer contagem decrescente ano,1
oi moça linda vir aqui pedir irmãzinha carinho amizade enorme querer saber sempre encontrar apoio esperar pai perfeito valorizar filho dizer algo sobre sobre vc,1
pq q ainda estás aqui,1
pessoa realmente entender rap sao importante dizer contrario,1
tanto fazer jogo pq gostar pc quiser poder comprar pc saio mcpe p,1
sebo online itinerante ir vender livro preço pessoa achar livro valer tipo ticket cultura fábrica pra livro ah ir trocar livro livro companhia isopor breja,1
previsão avisaremo surgir algum tipo novidade enquanto mantemos enquanto instituição pagamento acerca fgc risco tão baixo dispensar garantia poder explicar detalhadamente chamar dm,1
achar oração mãe ir dar certo,1
tô sentir slá porém gostar gosto fico realizar felicidade alheio,1
chamar ricky querer mt ser amigo ahaha falar contigo sobre cena ir mandar dm,1
tá hora usar tag votar soribar bts ir ganhar sozinho voteonbtssoribar,1
select joguei trapstar adventur setar par baixo computador quebrar funcionar então favor aplico customização controle jogo,1
neonazismo fazer errar bem cara fake news,1
hola sense saber vols fer demanem tanda,1
es giro obrigar,1
pc ir explodir,1
tudo bom ta tudo bom sim,1
então ir continuar dizer verdade,1
voto branco bem vir 1,1
fato suco uva horrível,1
achar 10 centavo chão,1
tão insegura pessoo falar “ se estar tão feliz assim ” pensar poder estar feliz pessoa bom outro pessoa bom difícil encontrar,1
bom dia Simão concordo aplaudo decisão,1
pressupus logo pq dizer,1
afiliar 43 la pasta en particular ñoqui presente p,1
caro ja bater forte vontade morrer,1
ps pai ne p Kkkkkkkk,1
ganhar nojo um 5 pessoa assim dia noite orgulho eu,1
graças deu boulo inventar bordão novo d cair democracia apertar botão entrar pagar banda escolher música,1
vish cara mt trol bom esperar recupere contar d,1
aguardo dm,1
ainda material escolar ok,1
nada to bom realmente acabar ir permitir outro acabar pouco sensacionalista populista eler,1
hoje escola cair luz ficar assim tempo meio de isso seguinte situação luz sala aula voltar ligar aluno aaaahhhhh literalmente momento parar falar cair luz novo aluno aaaaeeeeeeeeeee d,1
hoje dia sorte,1
louco pra chegar casa fazer igual orochimaro ficar baixo chuveirer expor todo dor chorar dentro,1
Judal magi 7 ° cosplay d cosplay fiquei semgraça usar nunca usar cosplay tanto pouco roupaacessório ver conforto estar derretendo 30 minuto evento,1
beleeeeee d ser rolar em esse ir,1
geralmente conhecer curter porque demasiado calar seca,1
kkkkk dever ser parabéns ignorância,1
olhar ainda existir,1
olá nada impossível né ir compartilhar tweet equipe oportunidade aberta falar,1
oiii dudir amor d oii Mare anjo,1
feriadão pra gosto produzir pro bolso ta sempre cheio d,1
vídeo novo ir bem d obrigar apoio sempre galerar incrível lt3,1
gostoso porra saber noivo viver falar,1
fã bruxo,1
fds poder tar jr onde q explicação,1
bom noite bom trabalho amanhã,1
insta Ju ir procurar conta pessoal ok ok obggr,1
tweet dizer “ gente eh leila vôlei ” pq n saber eh,1
