tweet_text,sentiment
o rebeld é o noss envi d d espec junt a voc,1
muit bom o cont do observ e freljord me lembr demal meu olh do invern que escrev há ano ant de tod ess lor ser trabalh public dá um gost de felic ver o quant eu acert cad cois,1
dev est estud mas to aqu viaj no tt depois volt reclam da minh not,1
sab que hor são hor de confer noss dic no snapchat gt queroviajarm já conhec ent compartilh,1
a fil and bebé a vid mud não esp que sej igual ao que era,1
sempr na aul de laboratori eu preench protocol inte pra minh dupl ele olh e faz o cálcul tod invé de só copi o val e da sempr o mesm result vc ach q eu sou burr q não conf no que eu dig rs,1
se eu tô ness mund é pra dar soc no estômag de mach,1
ah que show doming eu tenh vestibul a minh amig vei avis hoj que ela vai faz a fest de aniversári del no sáb,1
eh pá tod á frent o put algum vez eu ped iss á minh mãe d aliás algum vez os meu filh me vão ped iss,1
relax amor obrig por agir com matur vam dar streaming independ da opin ent tá tud bem,1
já consig escrev sem est sempr a aparec aquel merd no ecrã,1
olh o jeit da els meu deu,1
por vc ate o joj banc kkkk const no bar do did após a aul,1
ahahh fost tu que lhe vend,1
vontad de cort os puls depois dest dia,1
eu sempr tent mont um look legal mas sempr acab na camiset de band,1
menin é um víci etern o pi que são lanç pouc anim as vez fic só no shounen,1
quer kkk mas vc merec,1
eu tav com 55kg sext e agor to com 539kg eu to tao feliz,1
me pergunt se real eu ire vot no car violent descontrol mach homofób e racist eu neg é clar jamal vot no cir gom,1
sexual não defin carát,1
os meu pal só descobr qnd eu sai da pré a fdp hj em dia dizm olá na rua ao q eu ignor,1
princip a part do car,1
a culp é del confess p,1
mas a gent começ a deix o fã de esport mand na grad um do jog da 14h agor ser escolh pel fã de esport a vot da seman 3 abr na quartaf,1
me rend ao tédi bom dia flop,1
olh que lind ess nen bons de ipê um do filh que cuid com muit car,1
melhor cois que vc fazmuit gent fic com preconceit com iss mas é até legal e é fácil de ir tent lá,1
pass aére camvel ess sit faz uma proc em tod os sit de milh companh aére e mostr o melhormen preç q tá pra determin dia do mê bem mais pra q procur de sit em sit d cê pod tant procur pra uma dat específ quant vê o mê int,1
concord tant mas aind tem aquel com vc que insp estud com eu não desanim,1
thank nicol por ter lev o meu pé contig,1
que fof porém que trist a histór mas que bom que ele encontr um nov lar,1
enak lho dig,1
danil é o reforç do fcp de 2018 com a perman de mareg o melhor trein e o a melhor direcç som cl os grand favorit par est époc vam a iss,1
se foss euc a vid me ode ia ser a melhor aul do anoposs ate do meu grp utt ir la e eu falt aul,1
memór gt saudad dess meu alun de tai ch mas fic feliz que est por aí pel mund distribu seu sorris qualqu hor a gent se encontr,1
pass o dia me arrast mas agor à noit to tão bem,1
opa as 9 da matin to a ir p algarv e aind n fiz a mal,1
con sac e casm seguindom nest cont xa son feliz,1
siiiim se não me engan o seu minireview já é log o prim,1
aaaa ach w vai fic estranh p,1
obrig lind bom dia,1
no alur liv da seman que vem eu receb o pra gent convers sobr o merc de trabalh de gam vai ser bem legal já salv o link aí,1
veñ a la cas,1
há alg que voc aind não fez mas gost de faz um dia k k k mt coisaa,1
minh vó me deu 20 real pra compr o que eu quis te amo vó,1
fart de tar em cas amanhã dar uma galh de mot,1
eu gost muit de tod séri o apocryph aind n termin de assist mas até ond assist era bom mas bem abaix do bladework e sim o zer é o melhor de tod p,1
final de agost ja e eu so pens no carnav,1
ser que também já dá abrac e faz selfi,1
que pen quer ver já que consegu cheg no pessoal mais refrat,1
uma lat já est,1
se minh ex soub que vou me candidat ela encomend o crim kkk 17 é pik mesm d,1
aparent clar q foi ela kkkk só ver o braç estic é q ela quer se coloc em refer à fach ué aí acab peg um ângul mei baix pra fic o mais abert possível apes de ser uma declar ofic não precis ser necess uma fot formal p,1
o lanc é contempl o temp obscur na sua varand só de cuec enquant tom aquel suc de laranj,1
mas bb lembr um pass de cad vez por iss que vc n conseg hr q rol vc pens no pass seguint,1
já me dói a cabeç outr vez,1
eu odei aquel escol tom que ela se explod d,1
por nad meu am,1
noss futebol flaxgr maracanã,1
na madrug sou eu e minh músic maravilh que me deix muit feliz,1
fal elit diary complet,1
tem sim é só voc par de insist no haddad,1
tá um arras combin dm ctg,1
só fal o que vej e foi o que vi na tl não fic caç cois no tt vi e post e não mud nad do meu tt,1
noss tempor termin amanhã e por cont diss a busc de part pod ser fech par manutenç ao long do dia obrig pel compreens,1
ai meu lind sac só gameplay de cla redfield enfrent willian birkin,1
prim vez que fui ao 100 montadit e ador jur aind que não tenh consegu com as batat tod nem os croc,1
jur minh vid dav um film de dram terr coméd,1
pres num lanchonet graç a isabel,1
muit bem pen que tem a kat abr com vic bem est de qual animal só gat e cachorr não é sufici,1
no meu est a peg num em pânic,1
antôni carl elogi o meu cabel,1
oia lá os gatim p,1
a gent vai fal sobr iss na aul de quint d,1
nunc mais sa os result da segund fas,1
kkkkkkkkkk forç ícon e boa sort voc conseg,1
entr na minh vid em 2012 e no aproxim em 2014 desd noss grup com os guril te amo demal tu faz falt na minh manhã e não concord em cert opin e esper que um dia tu mud um pouc ela saudad,1
continu bat meu record const agr já tem 5 ano q eu beb café tod os dia sem falt,1
voc acab de me motiv a entr log na academ obrig,1
esper que voc tenh gost ricard,1
sab qual é o mai prob de voc se met ont não convém,1
lc somni bat muit ahahahah foi fix est contig já não te via a imens temp,1
eu sou né k,1
clar que sei foi por iss que diss xd,1
o pont baix do dia foi uma lagartix subirm as pern e mesm após eu sacud a porc não larg,1
ah não sab que era amig do joã boa obrig por ter partilh com é que ele é qual del,1
eu ja fal q vo te dar o crom de pres mas da a skin do zed de aniversári vai md aa anj qnd é seu aniversári,1
marmot não sei se voc lembr de mim eu fiz o what the box rocket fist e outr jog tô com um jog nov no kickstart ess mê que ach que voc vão curt d é sup fof o garden paw,1
no moment o que mais escut é nightwish d,1
fic fing que est tud bem é uma merd mas é bom ver que ninguém viu nad de err em mim ach que est funcion ou est,1
eu quer que o se fod,1
tu pod ta passe cmg no manau p,1
eu tenh uma prov e um resum de oit págin pra amanhã e aind nem comec d,1
bom dia prefir os samsung,1
agor vou faz uma taref mto difícil que requ esforç e temp ach uma fanfic boa par ler,1
eu não me import de lev um tir pow ser de boa ou ate mesm uma fac,1
que da hor val corre,1
o ver pod ja ter acab mas as minh fot del aind não,1
voc gost de alguém da escol gost de tod em geral grup top,1
obrig à tod que acompanh a liv hoj ame cad moment,1
minh gargant tá fech,1
hj o dia foi muit boom,1
ai olh gent chat do infern,1
mulh com autoest abal hom pap ret kkk mas po pq ser ne so faz merd bro p,1
tant dflw tant onor,1
vou ver o vin tod os dia,1
ach que fic fof de ócul thank you mas não quer parec fof,1
a turm nem é má,1
se lembr né am só qu um estiv junt do outr,1
est par ver ahah btw amanhã vam lá,1
2050 presid iss haddadmanu,1
gent eu vou no show no eua dia 2909 vou tent faz o máx possível de liv,1
ach que ta pel,1
da cois boa de faz pesquis hoj conhec paul am muit gent boa acab de lanç seu livr no brasil ler na viag de volt mas parec que já tem bibliograf nov par o curs do semestr que vem,1
eu quil diz os profes que assed as alun e não quil ofend os profes bom que exist lá,1
sof sou seu fã não perc nenhum víde show boa noit,1
a mim não me incomod que deslig,1
final reconhec vc tb é import,1
car pod não ter sid sua intenç mas dá a impress de est tir o mérit sim uma brasil foi eleit a melhor do mund na categor seil vez o gring uma e nem foi unanim dentr de sua respec categor ela é muit superi simpl,1
e ao que parec são a maior democrá que foi vot e princip tem direit ao vot e a ter represent na proporç a sua vontad a democrac é lind o hom é fasc mas é tant com os que diz que o pov est err e não dev vot assim,1
ah ta depois ouç agor to ouv loon,1
ess mê foi uma bost pel menos meu carr cheg prox seman,1
e ai guy 3 liv ta on vou jog uma ranked e lá pra 21h tem o final de final fantasy 3,1
bê serokocalan jîyan nab twitamina222 ji bo serok ocalan ê,1
filosof modern d faz sent,1
nav marcel uefasupercup,1
lembret de hoj segu as dic de passei do são paul par crianç também no instagr cliqu na fot e conf y saopauloparacrianc brinc saopaul fimdesem diversa kid vidadema,1
mais uma vez a catarin est um pass à frent next,1
se eu pud ajud em alg é só cham na dm,1
vou volt a faz o cort de cabel drás,1
cê já tá lgd já gt,1
anôn diss hell pl could u do som lockscre for natal dy ty ♡,1
tenh almoç marc par hj e aind est deit não est nad atrass,1
banh com as folh do meu orix oxal uma inal no vap da folh de eucalipt ferv um cha de erv cidr e uma boa noit de son,1
acab de part a películ,1
eu trabalh seu hereg,1
eu ia recomend loon mas nao sei se vc gost p acredit que eu nunc ouv uma músic del kjkkkk,1
oii ino do meu sab tenh uma saudad da au do cruz assim só quil diz mesm,1
ist est tão bom que ia pôr despert na aplic da calcul,1
cont sim me mand por dm,1
eu desafi nofeil e venc vam jog brainw,1
fal pra ele que só eu q sou am rs,1
porém se eu não fiz merd n foi calour né,1
kkkkkkkk iss foi bem trist pq é o q acontec comig,1
a coleç do renat bartolam tá cad vez mai,1
oi viníc obrig pel confianç produz tud pens em ajud voc da melhor man possível e pod fic tranquil que até novembr vai ter muuuuuuuit cois boa vind aí,1
vam concord em discord rs ach o posicion muit ras nenhum acen no sent de investig e pun os torc só um sem preconceit gente blz que se posicion mas pra mim não foi sufici exempl o posicion da rit ness sent though,1
ahahah ok mas aguard o dia que voc der o ar da graç por aqu,1
com cert sim poss recomend american woman are you gonn go my way ill be waiting calling all angel again e o hit farof fly away algum voc com cert conhec ah sim já tá se form,1
aproveit da melhor form,1
ataqu de ansiedad morr no infern,1
eitaaaaaaaaaa agor que lembr hoj estre de fer com o ex,1
bom dia mar olh até rim d,1
malucaaaaaa tenh q combin um dia com vc seman q vem ou próx,1
ess tá fácil… de um lad 40 jog seg do outr só um genér não sega… não sei nem porqu a dúv p,1
pod defend a amig mas qu sofr com ess infern fom nó ninguém sab com foi só a gent que fiqu o rec aí pra qu precis to nem fal na maldad só pra abr os olh quant ant melhor,1
linda tod os ano,1
val est ano a viag talv sim,1
eu tb não compr pel preç eu olh par o q est lá dentr eng electrón os meu últ telemó for sempr superi ao iphon e muit mais barat d,1
alguém fal de event crypt d,1
post o look do dia por aqu também elen qu quis fal com no instagr é só lev sua blus e ele estamp ela por r 5,1
eu concord com voc tbm,1
tmb te sent grand burr sem jeit nenhum,1
simm mas já par e agr tá mais quent,1
alguém sab com faz pra assist grey hoj d,1
est sempr aqu mesm dist fal niss precis vir pra recif pra tu conhec a comunidad daqu,1
unic pal do mund ond um pres ladra e conden em 2 instanc lid uma pesquis pal do ipob,1
ou ent vê kkkkkk vou com e dar ghost com me faz a mim d,1
se flop eu apag,1
se vc os apadrinh ele vão te cit sim só esper um pouc,1
sempr fui magr depois que vir vegan engord mais de 10kg nen tá err seu tweet,1
é só invert o cen da tylo no csg d,1
1 foo fc91499d2a584505a8636531a34e0666,1
wuant poss ver o víde sem fon,1
bom argument tam junt,1
vou grit pro mund q te amo e cad vez q me question eu peg um alt fal e grit no ouv do indivídu,1
siiimm também vou nel lt3 ela é client da minh amig conhec ess ano ela,1
est orgulh de voc procur há 3 mes e foi a melhor decis que pod ter feit vai dar cert,1
eu não compr ent não se preocup,1
¿eu quer ver qu vai acert eu mat o pomb eu solt o pomb eu quer ver o pombovo ¿qual é o nom dess film se sent pens,1
volt esquec de anot,1
inktob lylilanz uma leit promess é dúv kkkkkk bjo grand minh amig em hortolând,1
deix ele ser feliz d,1
tu tem uma coleg muit gost tod são,1
to prepar pra rast de amanhã pq se hoj deu tud cert amanhã vai dar tud err d,1
menin mas tod mund do meu inst resolv ir pra prai hj inclusiv eu também só não fui pq tô sem carr p mas ind já já pra bm,1
não sab com particip do airdrop conf est víde do júli do canal cript tec trx tron airdrop crypt huob cryptocurrenci money exchang,1
yeoon far bem as promoç japon univers boa noit kreng yeodach,1
é porqu est na hor de ach alg melhor,1
péss pi infeliz tem uma oss tão nov e tão ignor que é a sua no cas,1
eu acord às set da manhã p ir à feir c os avó da min,1
o artur destru o meu corp,1
uma cois boa do dia é que compr uma nov mochil,1
quint vam ao lad,1
já que and tod a faz ist,1
ônibu com carreg e wif é vid demal netflix e sonec a viag tod,1
não sig imens pesso e interaj com ela à mesm não signif nad,1
mas voc fez e se vc fez já foi um bom trabalh,1
a 1 ano atrás eu pens vou trabalh pra gast o meu prim salári com meu amig o empreg cheg e mor em outr cidad,1
val pel forç car d,1
não poss diz que est dia foi mau,1
se pass a seguil a part dess event ter val a pen cre,1
ess lik mesm calat chat do caralh,1
ess final de seman foi sensac,1
to fal com o marcel,1
ggwp 30 contr a revoltz e est classific par os playoff da ggbet val a tod pel torc gosant,1
non desculp ach que aind est na influenc de margaret atwood ach tud del maravilh a escrit a cas o país,1
amig reag a pesso lev sust amp,1
vou apanh o comboi de alverc e tou mesm a ver que vai ser o de doi and,1
hi tou liter a morr ant nao quer faz com o pedr agor nem consig tar com ele começ a fic nerv e a não consegu respir,1
tu não tá so man,1
e qu sorri pra voc vem o entend que na verdad qu não sab nad é voc que qu aind não compreend bem é voc car que jorn ser pai,1
eu sou vitór mais pod me cham apen de viv,1
obrigadaa vou tent sim,1
é o prim artig,1
hey eu est ao viv no cam4 vam convers no meu show sexy cam porn,1
nop tud de cabeç mesm,1
ato de cens númer 1 tent mecensur é ban p,1
eheh sempr às ord se precis de algum cois a dm est abert p,1
trech de músic e fras zé net e cristi,1
a minh alegr a ver amig a quer me mort ahahah,1
por iss prefir que os outr faç as cois p mim p,1
tô mor que bom que voc tá bem,1
ess é melhor pubg mobil,1
rosem noronh alguém lembr,1
se ele derrub uma porr dess ele ganh meu vot fat ou só da uma fac nel já ta val p,1
ach q tb vou sair,1
aff imagin pod entr à vontad hahah tô no twitt pra iss aind mais se for pra uma convers de boa com foi,1
obrig por ilustr o que eu diss,1
sej patriot sej br,1
vam por codein,1
já pens em ir a um program de talent ach que tinh jeit par iss já fui não me aceit,1
septemb 24 2018 at 0800 good morning hav a nic day buen que tengan un excel día bom dia desejolh um excel dia amer españ usa brasil,1
sim parç empat paracom os animal que também viv na mesm natur que nó human não são melhor tem o dev de mant a vid funcion,1
já tô me prepar bor faz ess caravan se for de turm a gent pod tent descont em pass aére,1
e tristepeg meu fon de ouvidocoloc a playlist da bad de 1 hor e fic escut,1
na époc nem me lig mas dev ter anot o nom e o carr e feit post também e acab deix pass é fod e ao menos voc tá bem ai no seu tramp mas dá uma respir e relax um pouc,1
tem com mand pra mim também thank,1
aind bem que a gent já trans enta tem intim e tu pod flr comig de boa ue malksdmfl,1
tô edit ele ent sai por volt de 1h da manhã tant no youtub quant no spotify,1
e que tab o ceo precios,1
fras os caval do zod,1
a poppy e o grag so tinh q defend a bas pra gent dar gg mas ai os 2 morr e ele der gg p,1
reviv o moment da 4a no sáb,1
omg o meu crush pô fav na minh fot,1
tenh que começ a pens na cois ant de as diz,1
entr na fil ent que o que mais tem aqu é carg pra carreg te dou uma ceno de pres qu sab te motiv qu o chicot do bols estal em vc tbm,1
as fl do tabac e à felic entr as lind couv em foz do iguassú paran brazil,1
falt uma seman par o meu aniversári já pod prepar surpr pra mim,1
nao to fal do dinh e sim da part que tu diss nunc trabalh em nenhum moment eu fal qualqu cois sobr o val do patrimôni,1
desenh e eu mandot fot do xiumin,1
fat 8 qu sab por que sou fã da garot que mencion ant olh ess vide o perfil del no instagr é,1
filoutub 16h20h filoutub pour vou divert,1
voc conhec a faz o descart de lix eletrôn acess noss sit par conhec mais lix eletrôn elix,1
parabém man muit fest hein 1 ano de vid d que deu ilumin seu caminh,1
ó que ess restaurant é um bom motiv heheh tô almoç nel hoj é sempr tão bom,1
só falt sair cmg,1
nao e o meu cas,1
tav mm c esperanç de q est ano ia ser da manhã pq pens q um ano de sofr bast mas não,1
tend em cont que som 9 é melhor que gost,1
aii com eu amo est aqu por mim nem volt,1
quiqu setien trein do bétil não cab o nom complet na sond,1
tenh tod um trabalh de histór pra faz e uma matér de ingl pra estud,1
vou faz agor uiehaiushd tent n´ã ser club já que é minh unit favorit p,1
mas desd lá tiv mt paci com ele e já convers mt sobr tud hoj em dia est tud mt bem nunc tiv uma relaç tão bom e nunc me sent tão bem na minh própr cas eh ist,1
tou com med de me deit e começ com ataqu de toss,1
amanhã tem atomiclabmusic na paul com um mont de gent bacan abert na faix só col atomiclab guitarist guitarr sing can guitarteach voiceteacher…,1
tá rol aqu em cas tb ess felic,1
já expliq a diferenç e no meu cas fal cens com c pq é o que se aplic,1
resum sensac sobr a histór do forró feit pel canal cad o forró val muuuuit a pen assist,1
ok acab de respond sua mens lá também,1
parabém hay ♡♡ obrig por tod o esforç na fanbas sua lind esper q vc aproveit mt seu dia,1
e par qu vai do port mesm dat 1 eur de poupanç disponibil entr novembr e mai,1
ess podcast foi mass d 99v 146 – 2pak asterix e chuck rock,1
alguém aí tem glitt prate é pra eu fic lind na minh fantas de carnav for de époc,1
agor as cois vão fic bem sim final d,1
o sit continu atualiz a pos do wilson sistem 001 e est ind bem mas est long aind de cheg no obje mei caminh entr a cost de são francisc e o hawaï q é a ilh q est na segund fot as estim são q cheg lá em 3 seman,1
pesso mais quiet nao é necess distra ou deslig do que ta acontec na volt del kk tem qu ve niss oportun pra tent engan mas ne,1
as pesso faz tant por mim e por incr que pareç sempr retribu do pi jeit mas não sou lix e nem tenh que sum não k me explod log,1
arrr gai deu o mai trabalh do univers jur que to o dia tod niss se quis real aprend mesm send muit trabalh me cham na dm meu doc,1
a sar deprimium fg quer mesm tant baz daqu de uma vez por tod,1
fernand brum agor no program elian mais uma histór lind de super,1
é vc sua desgr,1
agor é só coloc o rob contr o young boy d,1
seg qu não curt kpop tbm pô,1
eu n sei oqu faç acord amanhã tenh que acord ced par prepar me par o sol e continu aqu,1
no cas um mont de pinsch que se ach don do mund pq é branc não peg bus e tem gran pra viv tranquil sem se preocup com bolet,1
uma mvn da nu ser lind mesm,1
mud meu pack e meu us,1
pel menos peg meu my pac lind e ninguém peg até agor ent,1
bom dia adr cheg aqu traz o sol aproveit a cidad,1
kkk não tem mal experim utiliz sit par comput,1
e eu no trabalh madu iss que da ser um bom irm mais velh e fic vend film com o mais nov até tard,1
ufa sup cans e sem voz mas foi muit legal convers com tant jov interess em astronom esper ver o rost de cad um del no próx ano lá no iag,1
trist mas necessari se cuid lek,1
sent em cim do meu ócul e entort ele nad de nov por aqu,1
sim e aind com a regr de não hav telemó,1
iss é horr a gent sent um put pes mas o que eu tenh a te diz é sej fort aguent o máx que pud se quis me cham est a dispos,1
com meu cérebr func não gost de mim entt tá é ess mesm que eu quer avis lá pro coraçã que qu ver a pesso é pra quas dar uma par card de ansiedad pq tão troux,1
eh ent eu est na disney lanç hoj compr o dbd poi não sei qu vai ter promoç de nov,1
haddad 22 bor andrad minh porr 2° turn haddad 43 x 37 bolsonar bolsonar 28 cir 11 alckmin 8 marin 5,1
esper o próx já,1
com ganh uma part de dot d how to win a match at dot d via,1
o mesm par voc,1
real desesper com as estatís de homicídi e suicídi em 2019 infeliz eu corr o risc de me junt ao de estatís do suicídi obrig a tod colabor por tud de ruim que eu e muit outr irã pass d,1
eu est bue moren mas apanh um escald na mam não sei com,1
cancel e ta ind tud de nov,1
salv familamcp tev um nov vide no canal pass la e deix seu lik pra fortalec um canal heh tmj mcp,1
estud ou trabalh estud pra pod ter um bom trabalh,1
exat se a pesso tem ess problem de confianç e autoest pra decid se vai faz ou não é melhor diz que não sab se seu amig te conhec e entend ess cen iss vai te dar confianç e vai deixál feliz pq voc lut contr alg que vc ode,1
mei dúz de defen e quas 200 pesso que apoi iss dá uma alegr,1
quer muitoo muitoo compr,1
test diagnóst ond eu prov a minh burr,1
kjsjjkajjj mas ele sao tao velh era óbvi ant er tip army vs exol olh font doram reply 1997 e eu so falt pq tav com preguiç,1
e não import o que acontec depois não vou cri espect so sei que est em paz,1
quer que alguém fiz minh unh de graç,1
pass o temp que pass o teu olh parec não mud,1
machuq a mão ont e só fui ver agor,1
boa coment iss comig também est aprend ao pouc e pret corrig meu err no prox desenh muit obrig pel feedback,1
pra qu aind não ouv banc aii p,1
é um ep mass né ador a fras “é só reg os líri do guet que o beethoven negr vêm pra se mostrar” lt3 ach q represent bem a import da oportun na vid de qlqr um,1
messeng ano na,1
eu entr em cris qu é aniversári de algum fav pq eu não tenh criat pra faz post bonit,1
muit bem a cois mais vali que pod exist é ser reconhec por noss ídol né dinh nenhum ser capaz diss,1
vag par faz sucess,1
aff nao consegu mas vlw mesm por ajud,1
aaa bb boa noit boa noit,1
vc assist o debat do paran mesm não foi o de sp p,1
